FENCE_ID,LATITUDE_0,LONGITUDE_0,LATITUDE_1,LONGITUDE_1,LATITUDE_2,LONGITUDE_2,LATITUDE_3,LONGITUDE_3,LATITUDE_4,LONGITUDE_4,LATITUDE,LONGITUDE,ROAD,AREA,FID,LENGTH,WIDTH
长乐路0_L_A17001,24.527338,118.103198,24.527373,118.103224,24.527366,118.103236,24.527331,118.103209,24.527338,118.103198,24.527352,118.10321675,长乐路,6.759876282153215,0,4.687326438397358,1.4421603383067303
长乐路0_L_A17002,24.527303,118.103171,24.527338,118.103198,24.527331,118.103209,24.527296,118.103182,24.527303,118.103171,24.527317000000004,118.10319,长乐路,6.442854090346146,1,4.745024281989926,1.3578126701691395
长乐路0_L_A17003,24.527386,118.103231,24.527421,118.103257,24.527413,118.10327,24.527378,118.103244,24.527386,118.103231,24.527399499999998,118.1032505,长乐路,7.44174062047936,2,4.687325897187323,1.5876303000277516
长乐路0_L_A17004,24.527421,118.103257,24.527455,118.103282,24.527447,118.103295,24.527413,118.10327,24.527421,118.103257,24.527434,118.10327600000001,长乐路,7.205946149456286,3,4.538806966207321,1.5876300100679666
长乐路0_L_A17005,24.527003,118.102948,24.527046,118.102979,24.527038,118.102992,24.526995,118.102961,24.527003,118.102948,24.5270205,118.10297,长乐路,9.05834538082236,4,5.7055644474754,1.5876335223643823
长乐路0_L_A17006,24.526957,118.102916,24.52699,118.102937,24.526982,118.102951,24.526949,118.102929,24.526957,118.102916,24.5269695,118.10293325,长乐路,7.074706539179197,5,4.2295861183191485,1.6726711175207631
长乐路0_L_A17007,24.526509,118.102582,24.526542,118.102608,24.526535,118.102619,24.526502,118.102594,24.526509,118.102582,24.526522,118.10260075000001,长乐路,6.118101569057321,6,4.5058320013168665,1.3578183934219596
长乐路0_L_A17008,24.526608,118.102659,24.526638,118.102682,24.52663,118.102694,24.526601,118.102671,24.526608,118.102659,24.52661925,118.1026765,长乐路,6.1070113673065265,7,4.0588410894708415,1.5046194794738093
长乐路0_L_A17009,24.526649,118.102691,24.526678,118.102714,24.526671,118.102725,24.526641,118.102702,24.526649,118.102691,24.526659749999997,118.102708,长乐路,5.38872414867119,8,3.9686662508388975,1.3578174147377902
长乐路0_L_A17010,24.526689,118.102722,24.526719,118.102745,24.526711,118.102756,24.526682,118.102733,24.526689,118.102722,24.526700249999998,118.102739,长乐路,5.779685313682213,9,4.0588402612061385,1.4239745695152592
长乐路0_L_A17011,24.52673,118.102754,24.526763,118.102779,24.526756,118.102791,24.526722,118.102765,24.52673,118.102754,24.526742750000004,118.10277224999999,长乐路,6.413795150326913,10,4.447337165184361,1.442165258019297
长乐路0_L_A17012,24.526019,118.102216,24.526051,118.10224,24.526043,118.102253,24.526011,118.102229,24.526019,118.102216,24.526031,118.10223450000001,长乐路,6.824687341398508,11,4.29863095189783,1.5876420697118538
长乐路0_L_A17013,24.526062,118.102249,24.526099,118.102276,24.526091,118.102289,24.526054,118.102262,24.526062,118.102249,24.5260765,118.10226899999999,长乐路,7.823408545092504,12,4.927691653896781,1.5876416575103298
长乐路0_L_A17014,24.526099,118.102276,24.526128,118.102298,24.52612,118.102311,24.526091,118.102289,24.526099,118.102276,24.526109500000004,118.1022935,长乐路,6.2077130368001585,13,3.9100221242626114,1.5876414095664144
长乐路0_L_A17015,24.525824,118.102073,24.525866,118.102105,24.525858,118.102118,24.525815,118.102086,24.525824,118.102073,24.52584075,118.1020955,长乐路,9.003170436007263,14,5.670775289551722,1.5876436600468733
长乐路0_L_A17016,24.525773,118.102038,24.52581,118.102066,24.525803,118.102077,24.525766,118.102049,24.525773,118.102038,24.525788000000002,118.1020575,长乐路,6.768305010458521,15,4.984671600381075,1.3578236548102964
长乐路0_L_A17017,24.525731,118.102006,24.525762,118.10203,24.525755,118.102041,24.525723,118.102017,24.525731,118.102006,24.52574275,118.1020235,长乐路,5.713406865351421,16,4.207766885549629,1.3578240004151565
长乐路0_L_A17018,24.525415,118.10177,24.525447,118.101798,24.525437,118.101811,24.525406,118.101782,24.525415,118.10177,24.52542625,118.10179025000001,长乐路,7.814445339797463,17,4.540282309626109,1.7211364419409816
长乐路0_L_A17019,24.525975,118.102183,24.526008,118.102208,24.526,118.102221,24.525966,118.102196,24.525975,118.102183,24.52598725,118.10220199999999,长乐路,7.06079444569361,18,4.44734549451868,1.5876424384829078
长乐路0_R_A17001,24.5272,118.103303,24.527166,118.103279,24.527175,118.103266,24.527208,118.10329,24.5272,118.103303,24.52718725,118.1032845,长乐路,7.406045217801879,19,4.483039523700521,1.6520142592203975
长乐路0_R_A17002,24.525446,118.102007,24.525424,118.10199,24.525431,118.101978,24.525454,118.101995,24.525446,118.102007,24.52543875,118.1019925,长乐路,4.303844548956217,20,2.9842713707640076,1.4421760001853932
长乐路0_R_A17003,24.526051,118.102455,24.526015,118.102428,24.526023,118.102415,24.526059,118.102442,24.526051,118.102455,24.526037,118.102435,长乐路,7.677774465583067,21,4.8359598447325185,1.587642311369881
长乐路0_R_A17004,24.526096,118.102487,24.526062,118.102462,24.52607,118.10245,24.526104,118.102475,24.526096,118.102487,24.526083,118.10246850000001,长乐路,6.829219314055285,22,4.5388216220520885,1.5046238611526803
长乐路0_R_A17005,24.526135,118.102515,24.526108,118.102496,24.526115,118.102483,24.526142,118.102503,24.526135,118.102515,24.526125,118.10249925000001,长乐路,5.436927719931937,23,3.5568390926045232,1.5285841103232771
长乐路0_R_A17006,24.526173,118.102543,24.526146,118.102524,24.526153,118.102511,24.52618,118.102531,24.526173,118.102543,24.526163,118.10252725,长乐路,5.436926049234203,24,3.556838791399296,1.5285837700547744
长乐路0_R_A17007,24.526337,118.102666,24.526312,118.102648,24.526319,118.102635,24.526345,118.102653,24.526337,118.102666,24.52632825,118.10265050000001,长乐路,5.068621558269399,25,3.31589709282416,1.5285822859938147
长乐路0_R_A17008,24.5263,118.102639,24.52627,118.102616,24.526278,118.102604,24.526307,118.102626,24.5263,118.102639,24.526288750000003,118.10262125,长乐路,6.107027848149227,26,4.058844550783351,1.5046222568367589
长乐路0_R_A17009,24.526382,118.1027,24.52635,118.102676,24.526357,118.102664,24.526389,118.102688,24.526382,118.1027,24.5263695,118.102682,长乐路,6.199345278462216,27,4.298627473063442,1.4421685334003171
长乐路0_R_A17010,24.526511,118.102795,24.526477,118.10277,24.526485,118.102756,24.526519,118.102782,24.526511,118.102795,24.526498000000004,118.10277574999999,长乐路,7.5919700355133815,28,4.53881714601363,1.6726758957851575
长乐路0_R_A17011,24.526465,118.102761,24.526437,118.10274,24.526445,118.102727,24.526474,118.102748,24.526465,118.102761,24.526455249999998,118.102744,长乐路,5.97158261721935,29,3.761298258062777,1.5876386841746923
长乐路0_R_A17012,24.526557,118.102829,24.526524,118.102804,24.526532,118.102791,24.526566,118.102816,24.526557,118.102829,24.52654475,118.10281,长乐路,7.060764814352345,30,4.4473394369950014,1.5876379382283434
长乐路0_R_A17013,24.526602,118.102862,24.526569,118.102837,24.526577,118.102824,24.52661,118.102849,24.526602,118.102862,24.5265895,118.102843,长乐路,7.060762306273422,31,4.447338941290698,1.5876375512373837
长乐路0_R_A17014,24.526645,118.102894,24.526611,118.102869,24.526619,118.102856,24.526653,118.102881,24.526645,118.102894,24.526632,118.10287500000001,长乐路,7.205992612561134,32,4.538815701972576,1.5876371912235607
长乐路0_R_A17015,24.526789,118.103,24.526747,118.102969,24.526755,118.102956,24.526797,118.102987,24.526789,118.103,24.526772,118.102978,长乐路,8.912088743193053,33,5.6134331928503425,1.587636021845616
长乐路0_R_A17016,24.526868,118.103058,24.526838,118.103036,24.526846,118.103023,24.526876,118.103045,24.526868,118.103058,24.526857000000003,118.1030405,长乐路,6.35294036254153,34,4.001511301051302,1.5876352419328283
长乐路0_R_A17017,24.526906,118.103086,24.526879,118.103067,24.526887,118.103054,24.526914,118.103073,24.526906,118.103086,24.526896500000003,118.10307,长乐路,5.646952139741948,35,3.556832986578048,1.5876348878485742
长乐路0_R_A17018,24.526952,118.103121,24.526918,118.103095,24.526926,118.103082,24.526961,118.103108,24.526952,118.103121,24.52693925,118.10310150000001,长乐路,7.2969913847889245,36,4.596140446280212,1.5876345533989478
长乐路0_R_A17019,24.527036,118.103183,24.527006,118.10316,24.527014,118.103147,24.527044,118.103169,24.527036,118.103183,24.527025,118.10316474999999,长乐路,6.443946826164118,37,4.0588370153883915,1.58763379799016
长乐路0_R_A17020,24.527074,118.10321,24.527047,118.103191,24.527056,118.103178,24.527082,118.103197,24.527074,118.10321,24.52706475,118.103194,长乐路,5.8759401019654165,38,3.5568316571691327,1.6520152394960554
长浩路0_L_A17001,24.521208,118.101751,24.521239,118.101751,24.521239,118.101771,24.521208,118.101771,24.521208,118.101751,24.5212235,118.101761,长浩路,6.959349784572458,39,3.433740047156486,2.026754992806041
长浩路0_L_A17002,24.521697,118.101802,24.521746,118.101802,24.521746,118.101814,24.521697,118.101814,24.521697,118.101802,24.5217215,118.101808,长浩路,6.600131474889312,40,5.427524948423725,1.2160481135708345
长浩路0_L_A17003,24.521746,118.101802,24.5218,118.101801,24.5218,118.101813,24.521746,118.101814,24.521746,118.101802,24.521773000000003,118.10180749999999,长浩路,7.2746550549134765,41,5.982212443292457,1.216047595078334
长浩路0_L_A17004,24.521956,118.101801,24.522016,118.101801,24.522016,118.101814,24.521955,118.101814,24.521956,118.101801,24.52198575,118.10180749999999,长浩路,8.755258043853267,42,6.645949149224265,1.3173826412552685
长浩路0_L_A17005,24.523246,118.101812,24.523307,118.101813,24.523307,118.101827,24.523246,118.101827,24.523246,118.101812,24.5232765,118.10181975,长浩路,9.586866756701228,43,6.7574759922002485,1.4187052632916162
长浩路0_L_A17006,24.523582,118.101818,24.523662,118.101815,24.523662,118.101831,24.523583,118.101835,24.523582,118.101818,24.523622250000003,118.10182475,长浩路,14.37587154426946,44,8.866480782444668,1.6213728870571962
长浩路0_L_A17007,24.523493,118.101823,24.523569,118.101819,24.523569,118.101835,24.523494,118.101839,24.523493,118.101823,24.523531249999998,118.101829,长浩路,13.664871265160116,45,8.427957148763271,1.6213740796208622
长浩路0_L_A17008,24.524035,118.101787,24.524069,118.101782,24.52407,118.101797,24.524037,118.101802,24.524035,118.101787,24.524052750000003,118.10179200000002,长浩路,5.79139204447188,46,3.7999698564735613,1.5240626276563134
长浩路0_L_A17009,24.52408,118.101781,24.524111,118.101776,24.524113,118.101792,24.524082,118.101797,24.52408,118.101781,24.5240965,118.1017865,长浩路,5.679926090333071,47,3.4709222922962932,1.636431360892077
长浩路0_L_A17010,24.524175,118.10178,24.524173,118.101765,24.524202,118.101759,24.524204,118.101774,24.524175,118.10178,24.5241885,118.10176950000002,长浩路,5.021853903293974,48,3.269246100032162,1.5360892846961172
长浩路0_L_A17011,24.524215,118.101756,24.524251,118.10175,24.524253,118.101765,24.524218,118.101772,24.524215,118.101756,24.524234250000003,118.10176075,长浩路,6.196055418166875,49,4.033658215107935,1.5360883564600867
长浩路0_L_A17012,24.524264,118.101747,24.524335,118.101734,24.524338,118.101749,24.524267,118.101763,24.524264,118.101747,24.524300999999998,118.10174825,长浩路,12.406882364040243,50,7.973947416629535,1.5559272861727047
长浩路0_L_A17013,24.524733,118.101511,24.524738,118.10148,24.524751,118.101482,24.524746,118.101514,24.524733,118.101511,24.524741999999996,118.10149675000001,长浩路,4.638487679500395,51,3.1898300440090086,1.4541488466484878
长浩路0_R_A17001,24.524544,118.101913,24.524474,118.101937,24.52447,118.101924,24.52454,118.1019,24.524544,118.101913,24.524507,118.1019185,长浩路,11.294194020973752,52,8.126087634839767,1.3898685971033655
长浩路0_R_A17002,24.524209,118.102003,24.524173,118.10201,24.52417,118.101995,24.524207,118.101988,24.524209,118.102003,24.52418975,118.101999,长浩路,6.301781095760999,53,4.050172074988207,1.5559292245081584
长浩路0_R_A17003,24.52416,118.102013,24.524131,118.102018,24.524129,118.102004,24.524158,118.101999,24.52416,118.102013,24.5241445,118.10200849999998,长浩路,4.66939968728798,54,3.251924455108263,1.4358881184810692
长浩路0_R_A17004,24.523887,118.102047,24.523853,118.102054,24.523851,118.102041,24.523885,118.102034,24.523887,118.102047,24.523868999999998,118.10204399999999,长浩路,5.119365565254231,55,3.832261062013764,1.3358603399957631
长浩路0_R_A17005,24.524028,118.102033,24.523944,118.102043,24.523943,118.102027,24.524027,118.102016,24.524028,118.102033,24.523985500000002,118.10202975,长浩路,15.21033610579495,56,9.359351994195865,1.6251484200217632
长浩路0_R_A17006,24.523647,118.102055,24.523593,118.102057,24.523593,118.102042,24.523646,118.10204,24.523647,118.102055,24.52361975,118.1020485,长浩路,9.097104960906437,57,5.984788199515335,1.520037912393148
长浩路0_R_A17007,24.523403,118.102058,24.523374,118.102058,24.523374,118.102044,24.523403,118.102044,24.523403,118.102058,24.5233885,118.10205099999999,长浩路,4.557175897862353,58,3.2122093527746367,1.418704510627853
长浩路0_R_A17008,24.523342,118.102058,24.52329,118.102058,24.52329,118.102042,24.523342,118.102042,24.523342,118.102058,24.523316,118.10204999999999,长浩路,9.338849345850365,59,5.759823610930171,1.6213776630465608
长浩路0_R_A17009,24.52188,118.102082,24.521818,118.102081,24.521819,118.102066,24.52188,118.102067,24.52188,118.102082,24.52184925,118.10207399999999,长浩路,10.467795636525635,60,6.8682282944933375,1.5240896469498957
长浩路0_R_A17010,24.521685,118.102083,24.521582,118.102083,24.521582,118.102066,24.521685,118.102066,24.521685,118.102083,24.5216335,118.10207449999999,长浩路,19.654498445950548,61,11.408878840383757,1.7227370647832594
长浩路0_R_A17011,24.5258,118.1011,24.525746,118.101157,24.525735,118.101144,24.525789,118.101088,24.5258,118.1011,24.5257675,118.10112225,长浩路,14.920636164159225,62,8.315005877580793,1.7944228042446442
长浩路0_R_A17012,24.526311,118.100402,24.526291,118.10043,24.526278,118.100419,24.526298,118.100391,24.526311,118.100402,24.5262945,118.1004105,长浩路,6.555057148019456,63,3.5997429125638,1.820979249696148
长浩路0_R_A17013,24.523675,118.101814,24.523707,118.101813,24.523707,118.101829,24.523676,118.101831,24.523675,118.101814,24.52369125,118.10182175,长浩路,5.749313710393342,64,3.5459552889118044,1.621372307871855
七星西路0_L_1,24.4884913674,118.091377284,24.4884887458,118.091360181,24.4885639029,118.091346444,24.4885665172,118.091363548,24.4884913674,118.091377284,24.488527633325,118.09136186425,七星西路,14.836452835750295,65,8.440449637083026,1.7577799138290569
七星西路0_L_2,24.4902519911,118.09105613,24.4902487213,118.091038779,24.4903243821,118.091024537,24.4903275172,118.091041914,24.4902519911,118.09105613,24.490288152925,118.09104034,七星西路,15.27022378730745,66,8.504021114824843,1.7956474450289472
七星西路0_L_3,24.4910250556,118.090914146,24.4910220621,118.090895298,24.4910889087,118.090883198,24.4910921476,118.090902573,24.4910250556,118.090914146,24.4910570435,118.09089880375001,七星西路,14.552776332336487,67,7.505180489623797,1.9390308271008625
七星西路0_R_1,24.488899488,118.091618049,24.4888971466,118.091603409,24.4889280534,118.091598264,24.4889301417,118.091612455,24.488899488,118.091618049,24.488913707425,118.09160804425,七星西路,5.216703816217198,68,3.4628976951250214,1.5064562327559199
七星西路0_R_2,24.4896428889,118.091482,24.4896403712,118.091465523,24.4896803193,118.091458537,24.489683036,118.091474708,24.4896428889,118.091482,24.48966165385,118.091470192,七星西路,7.5878810657771405,69,4.481168184572706,1.693281919634237
七星西路0_R_3,24.4915248361,118.091309555,24.4915090165,118.091275305,24.4915250475,118.091267444,24.4915408671,118.091301694,24.4915248361,118.091309555,24.4915249418,118.0912884995,七星西路,7.568598755459196,70,3.8887881101180946,1.9462615450213752
七星西路_L_1,24.4877226143,118.0915030328,24.4877890664,118.0914867356,24.4877926924,118.09150439,24.4877262403,118.0915206872,24.4877226143,118.0915030328,24.487757653350002,118.0915037114,七星西路,13.835482395570386,71,7.543687658215289,1.8340476199996372
七星西路_L_2_A,24.4878795888,118.0914730185,24.4879322756,118.0914614317,24.4879357826,118.0914804736,24.4878830958,118.0914920603,24.4878795888,118.0914730185,24.4879076857,118.091476746025,七星西路,11.720467468057814,72,5.952882310962014,1.9688726999482256
