FENCE_ID,FENCE_LOC
长乐路0_L_A17001,"[118.103198,24.527338],[118.103224,24.527373],[118.103236,24.527366],[118.103209,24.527331],[118.103198,24.527338]"
长乐路0_L_A17002,"[118.103171,24.527303],[118.103198,24.527338],[118.103209,24.527331],[118.103182,24.527296],[118.103171,24.527303]"
长乐路0_L_A17003,"[118.103231,24.527386],[118.103257,24.527421],[118.10327,24.527413],[118.103244,24.527378],[118.103231,24.527386]"
长乐路0_L_A17004,"[118.103257,24.527421],[118.103282,24.527455],[118.103295,24.527447],[118.10327,24.527413],[118.103257,24.527421]"
长乐路0_L_A17005,"[118.102948,24.527003],[118.102979,24.527046],[118.102992,24.527038],[118.102961,24.526995],[118.102948,24.527003]"
长乐路0_L_A17006,"[118.102916,24.526957],[118.102937,24.52699],[118.102951,24.526982],[118.102929,24.526949],[118.102916,24.526957]"
长乐路0_L_A17007,"[118.102582,24.526509],[118.102608,24.526542],[118.102619,24.526535],[118.102594,24.526502],[118.102582,24.526509]"
长乐路0_L_A17008,"[118.102659,24.526608],[118.102682,24.526638],[118.102694,24.52663],[118.102671,24.526601],[118.102659,24.526608]"
长乐路0_L_A17009,"[118.102691,24.526649],[118.102714,24.526678],[118.102725,24.526671],[118.102702,24.526641],[118.102691,24.526649]"
长乐路0_L_A17010,"[118.102722,24.526689],[118.102745,24.526719],[118.102756,24.526711],[118.102733,24.526682],[118.102722,24.526689]"
长乐路0_L_A17011,"[118.102754,24.52673],[118.102779,24.526763],[118.102791,24.526756],[118.102765,24.526722],[118.102754,24.52673]"
长乐路0_L_A17012,"[118.102216,24.526019],[118.10224,24.526051],[118.102253,24.526043],[118.102229,24.526011],[118.102216,24.526019]"
长乐路0_L_A17013,"[118.102249,24.526062],[118.102276,24.526099],[118.102289,24.526091],[118.102262,24.526054],[118.102249,24.526062]"
长乐路0_L_A17014,"[118.102276,24.526099],[118.102298,24.526128],[118.102311,24.52612],[118.102289,24.526091],[118.102276,24.526099]"
长乐路0_L_A17015,"[118.102073,24.525824],[118.102105,24.525866],[118.102118,24.525858],[118.102086,24.525815],[118.102073,24.525824]"
长乐路0_L_A17016,"[118.102038,24.525773],[118.102066,24.52581],[118.102077,24.525803],[118.102049,24.525766],[118.102038,24.525773]"
长乐路0_L_A17017,"[118.102006,24.525731],[118.10203,24.525762],[118.102041,24.525755],[118.102017,24.525723],[118.102006,24.525731]"
长乐路0_L_A17018,"[118.10177,24.525415],[118.101798,24.525447],[118.101811,24.525437],[118.101782,24.525406],[118.10177,24.525415]"
长乐路0_L_A17019,"[118.102183,24.525975],[118.102208,24.526008],[118.102221,24.526],[118.102196,24.525966],[118.102183,24.525975]"
长乐路0_R_A17001,"[118.103303,24.5272],[118.103279,24.527166],[118.103266,24.527175],[118.10329,24.527208],[118.103303,24.5272]"
长乐路0_R_A17002,"[118.102007,24.525446],[118.10199,24.525424],[118.101978,24.525431],[118.101995,24.525454],[118.102007,24.525446]"
长乐路0_R_A17003,"[118.102455,24.526051],[118.102428,24.526015],[118.102415,24.526023],[118.102442,24.526059],[118.102455,24.526051]"
长乐路0_R_A17004,"[118.102487,24.526096],[118.102462,24.526062],[118.10245,24.52607],[118.102475,24.526104],[118.102487,24.526096]"
长乐路0_R_A17005,"[118.102515,24.526135],[118.102496,24.526108],[118.102483,24.526115],[118.102503,24.526142],[118.102515,24.526135]"
长乐路0_R_A17006,"[118.102543,24.526173],[118.102524,24.526146],[118.102511,24.526153],[118.102531,24.52618],[118.102543,24.526173]"
长乐路0_R_A17007,"[118.102666,24.526337],[118.102648,24.526312],[118.102635,24.526319],[118.102653,24.526345],[118.102666,24.526337]"
