FENCE_ID|FENCE_TYPE|BELONG_AREA
长乐路0_L_A17001|0|508
长乐路0_L_A17002|0|508
长乐路0_L_A17003|0|508
长乐路0_L_A17004|0|508
长乐路0_L_A17005|0|508
长乐路0_L_A17006|0|508
长乐路0_L_A17007|0|508
长乐路0_L_A17008|0|508
长乐路0_L_A17009|0|508
长乐路0_L_A17010|0|508
长乐路0_L_A17011|0|508
长乐路0_L_A17012|0|508
长乐路0_L_A17013|0|508
长乐路0_L_A17014|0|508
长乐路0_L_A17015|0|508
长乐路0_L_A17016|0|508
长乐路0_L_A17017|0|508
长乐路0_L_A17018|0|3601
长乐路0_L_A17019|0|508
长乐路0_R_A17001|0|508
长乐路0_R_A17002|0|2163
长乐路0_R_A17003|0|508
长乐路0_R_A17004|0|508
长乐路0_R_A17005|0|508
长乐路0_R_A17006|0|508
长乐路0_R_A17007|0|508
长乐路0_R_A17008|0|508
长乐路0_R_A17009|0|508
长乐路0_R_A17010|0|508
长乐路0_R_A17011|0|508
长乐路0_R_A17012|0|508
长乐路0_R_A17013|0|508
长乐路0_R_A17014|0|508
长乐路0_R_A17015|0|508
长乐路0_R_A17016|0|508
长乐路0_R_A17017|0|508
长乐路0_R_A17018|0|508
长乐路0_R_A17019|0|508
长乐路0_R_A17020|0|508
长浩路0_L_A17001|0|4746
长浩路0_L_A17002|0|1663
长浩路0_L_A17003|0|1663
长浩路0_L_A17004|0|5264
长浩路0_L_A17005|0|4353
长浩路0_L_A17006|0|2077
长浩路0_L_A17007|0|2077
长浩路0_L_A17008|0|514
长浩路0_L_A17009|0|514
长浩路0_L_A17010|0|514
长浩路0_L_A17011|0|514
长浩路0_L_A17012|0|514
长浩路0_L_A17013|0|1754
长浩路0_R_A17001|0|1049
长浩路0_R_A17002|0|5513
长浩路0_R_A17003|0|5513
长浩路0_R_A17004|0|5513
长浩路0_R_A17005|0|5513
长浩路0_R_A17006|0|6029
长浩路0_R_A17007|0|2155
长浩路0_R_A17008|0|2155
长浩路0_R_A17009|0|3763
长浩路0_R_A17010|0|3763
长浩路0_R_A17011|0|4848
长浩路0_R_A17012|0|3641
长浩路0_R_A17013|0|2077
七星西路0_L_1|0|2073
七星西路0_L_2|0|3469
七星西路0_L_3|0|1882
七星西路0_R_1|0|2040
七星西路0_R_2|0|5444
七星西路0_R_3|0|3189
七星西路_L_1|0|2567
七星西路_L_2_A|0|2567
七星西路_L_2_B|0|2073
七星西路_L_3_A|0|5136
七星西路_L_3_B|0|2073
七星西路_L_4_A|0|4278
七星西路_L_4_B|0|3469
七星西路_L_5_A|0|5336
七星西路_L_5_B|0|3469
七星西路_L_6|0|1882
七星西路_L_7|0|1882
七星西路_R_1_A|0|3189
七星西路_R_1_B|0|1944
七星西路_R_2_A|0|2040
七星西路_R_2_B|0|2040
七星西路_R_3_A|0|1944
七星西路_R_3_B|0|1831
七星西路_R_4|0|2209
七星西路_R_5|0|3944
七星路0_R_1|0|1312
七星路_L_1_A|0|1203
七星路_L_1_B|0|2536
七星路_L_2_A|0|1799
七星路_L_2_B|0|2536
七星路_L_3|0|1799
七星路_R_1|0|4177
七星路_R_10|0|4226
七星路_R_11|0|2536
七星路_R_2|0|348
七星路_R_3|0|1312
七星路_R_4|0|1312
七星路_R_5|0|1312
七星路_R_6|0|1312
七星路_R_7|0|2788
七星路_R_8|0|542
七星路_R_9|0|4226
七星路(体育路至湖滨北路)_L_1|0|2123
七星路(体育路至湖滨北路)_L_2|0|2123
七星路(体育路至湖滨北路)_L_3|0|3087
七星路(体育路至湖滨北路)_L_4|0|3087
七星路(体育路至湖滨北路)_L_5|0|3350
七星路(体育路至湖滨北路)_L_6|0|1799
七星路(体育路至湖滨北路)_L_7|0|249
七星路(体育路至湖滨北路)_L_8|0|1203
七星路(体育路至湖滨北路)_L_9|0|1203
七星路(体育路至湖滨北路)_R_1|0|2123
七星路(体育路至湖滨北路)_R_2|0|2123
七星路(体育路至湖滨北路)_R_3|0|2123
七星路(体育路至湖滨北路)_R_4|0|249
七星路(体育路至湖滨北路)_R_5|0|1203
七星路(体育路至湖滨北路)_R_6|0|1203
万寿路0_L_1|0|2505
万寿路0_L_2|0|4895
万寿路0_L_3|0|972
万寿路0_L_4|0|972
万寿路0_L_5|0|972
万寿路0_R_1|0|2505
万寿路0_R_2|0|2505
万寿路0_R_3|0|4617
万寿路0_R_4|0|4617
万寿路0_R_5|0|5362
下堡路0_L_1|0|2261
下堡路0_L_2|0|272
下堡路0_L_A06001|0|2261
下堡路0_L_A06002|0|3870
下堡路0_L_A06003|0|4983
下堡路0_L_A06004|0|272
下堡路0_L_3|0|5808
下堡路0_L_4|0|4331
下堡路0_L_5|0|3870
下堡路0_L_6|0|3870
下堡路0_L_7|0|1389
下堡路0_R_A06002|0|5642
下堡路0_R_A06003|0|4331
下堡路0_R_A06004|0|3881
下堡路0_R_A06005|0|369
下澳仔路_L_1|0|1451
下澳仔路_R_1|0|4808
东坪山路0_L_1|0|5611
东坪山路0_L_2|0|4965
东坪山路0_L_3|0|1005
东坪山路0_L_4|0|1005
东坪山路0_L_5|0|4110
东坪山路0_L_6|0|1797
东坪山路0_R_1|0|4764
东坪山路0_R_2|0|4375
东坪山路0_R_3|0|5724
东坪山路0_R_4|0|1797
东坪山路_L_1|0|4965
东坪山路_L_2|0|1711
东坪山路_L_A04001|0|4976
东坪山路_L_3|0|4375
东坪山路_L_4|0|1797
东坪山路_L_5|0|3734
东坪山路_R_1|0|4976
东坪山路_R_2|0|1797
东坪山路_R_3|0|4375
东坪山路_R_4|0|5857
东埔路0_L_A14001|0|483
东岳二路0_L_1|0|1002
东岳二路_L_1|0|4038
东岳二路_L_A09001|0|4034
东岳二路_R_1|0|575
东岳二路_R_2|0|575
东明路0_L_1|0|221
东明路0_L_2|0|198
东明路0_L_3|0|4255
东明路0_L_4|0|1595
东明路0_R_1|0|302
东明路0_R_2|0|302
东明路_L_1|0|302
东明路_L_10|0|221
东明路_L_11|0|221
东明路_L_2|0|302
东明路_L_A08001|0|2275
东明路_L_A09001|0|974
东明路_L_3|0|302
东明路_L_4|0|302
东明路_L_5|0|4165
东明路_L_6|0|4165
东明路_L_7|0|1547
东明路_L_8|0|1547
东明路_L_9|0|221
东明路_R_1|0|221
东明路_R_10|0|478
东明路_R_11|0|478
东明路_R_2|0|221
东明路_R_3|0|221
东明路_R_4|0|221
东明路_R_5|0|302
东明路_R_6|0|302
东明路_R_7|0|302
东明路_R_8|0|302
东明路_R_9|0|302
东浦二路_L_1|0|5015
东浦二路_R_1|0|2783
东浦路0_L_1|0|5671
东浦路0_L_10|0|4953
东浦路0_L_11|0|3617
东浦路0_L_12|0|3617
东浦路0_L_13|0|3617
东浦路0_L_14|0|3617
东浦路0_L_2|0|2617
东浦路0_L_3|0|2617
东浦路0_L_4|0|483
东浦路0_L_5|0|483
东浦路0_L_6|0|483
东浦路0_L_7|0|483
东浦路0_L_8|0|5355
东浦路0_L_9|0|5355
东浦路0_R_1|0|621
东浦路0_R_10|0|5628
东浦路0_R_11|0|5807
东浦路0_R_12|0|3381
东浦路0_R_2|0|621
东浦路0_R_3|0|3447
东浦路0_R_4|0|706
东浦路0_R_5|0|5607
东浦路0_R_6|0|6066
东浦路0_R_7|0|735
东浦路0_R_8|0|735
东浦路0_R_9|0|5628
东浦路_L_1|0|3617
东浦路_L_10|0|2263
东浦路_L_11|0|3686
东浦路_L_12|0|4716
东浦路_L_13|0|621
东浦路_L_14|0|5617
东浦路_L_15|0|3650
东浦路_L_16|0|5672
东浦路_L_17|0|5986
东浦路_L_2|0|4953
东浦路_L_A04001|0|2617
东浦路_L_3|0|5167
东浦路_L_4|0|1314
东浦路_L_5|0|5748
东浦路_L_6|0|5465
东浦路_L_7_A|0|5465
东浦路_L_7_B|0|5355
东浦路_L_8|0|483
东浦路_L_9|0|483
东浦路_R_10|0|469
东浦路_R_11|0|774
东浦路_R_12|0|4400
东浦路_R_1_A|0|5394
东浦路_R_1_B|0|4934
东浦路_R_A04001|0|3447
东浦路_R_A04002|0|3447
东浦路_R_A04003|0|706
东浦路_R_2_A|0|621
东浦路_R_2_B|0|3381
东浦路_R_3_B|0|3977
东浦路_R_4|0|3686
东浦路_R_5|0|2263
东浦路_R_6|0|735
东浦路_R_7|0|2612
东浦路_R_8|0|5901
东浦路_R_9|0|469
东渡路0_L_1|0|4302
东渡路0_L_2|0|4302
东渡路0_L_3|0|2667
东渡路0_L_4|0|5073
东渡路0_L_5|0|5893
东渡路0_L_6|0|564
东渡路0_L_7|0|1151
东渡路0_L_8|0|1151
东渡路0_R_1|0|4627
东渡路0_R_10|0|3631
东渡路0_R_11|0|5550
东渡路0_R_12|0|5550
东渡路0_R_2|0|4513
东渡路0_R_3|0|2136
东渡路0_R_4|0|4612
东渡路0_R_5|0|4612
东渡路0_R_6|0|5468
东渡路0_R_7|0|5094
东渡路0_R_8|0|2438
东渡路0_R_9|0|3631
东渡路_L_1|0|3293
东渡路_L_10|0|5299
东渡路_L_11|0|1722
东渡路_L_12|0|1771
东渡路_L_13|0|2140
东渡路_L_14|0|656
东渡路_L_15|0|1151
东渡路_L_16|0|1151
东渡路_L_17|0|1151
东渡路_L_18|0|1151
东渡路_L_19|0|1151
东渡路_L_2|0|3151
东渡路_L_20|0|1151
东渡路_L_A13001|0|1771
东渡路_L_A13002|0|5268
东渡路_L_A14001|0|2140
东渡路_L_A14002|0|2175
东渡路_L_A14003|0|2175
东渡路_L_A14004|0|3578
东渡路_L_A14005|0|4728
东渡路_L_21|0|1151
东渡路_L_22|0|1151
东渡路_L_23|0|1151
东渡路_L_24|0|1151
东渡路_L_25|0|1151
东渡路_L_26|0|5451
东渡路_L_27|0|564
东渡路_L_28|0|564
东渡路_L_29|0|564
东渡路_L_3|0|1864
东渡路_L_30|0|564
东渡路_L_31|0|564
东渡路_L_32|0|564
东渡路_L_33|0|564
东渡路_L_34|0|5259
东渡路_L_35|0|5832
东渡路_L_36|0|5955
东渡路_L_37|0|4728
东渡路_L_4|0|4431
东渡路_L_5|0|1171
东渡路_L_6|0|5690
东渡路_L_7|0|4302
东渡路_L_8|0|2712
东渡路_L_9|0|219
东渡路_R_1|0|2252
东渡路_R_10|0|600
东渡路_R_11|0|1475
东渡路_R_13|0|2110
东渡路_R_14|0|5094
东渡路_R_15|0|4612
东渡路_R_16|0|2136
东渡路_R_17|0|4461
东渡路_R_18|0|4340
东渡路_R_19|0|2528
东渡路_R_2|0|2438
东渡路_R_20|0|2528
东渡路_R_A13001|0|359
东渡路_R_A13002|0|359
东渡路_R_A13003|0|359
东渡路_R_A13004|0|2110
东渡路_R_A13005|0|1979
东渡路_R_A13006|0|1979
东渡路_R_A13007|0|2252
东渡路_R_A13008|0|2252
东渡路_R_A13009|0|1967
东渡路_R_A13010|0|545
东渡路_R_A13011|0|545
东渡路_R_A13012|0|2113
东渡路_R_A13013|0|3798
东渡路_R_A13014|0|1633
东渡路_R_A13015|0|1633
东渡路_R_A13016|0|1475
东渡路_R_A13017|0|1475
东渡路_R_A13018|0|2679
东渡路_R_A14001|0|2528
东渡路_R_A14002|0|2528
