FENCE_ID | FENCE_TYPE | BELONG_AREA
长乐路0_L_A17001|0|-1
长乐路0_L_A17002|0|-1
长乐路0_L_A17003|0|-1
长乐路0_L_A17004|0|-1
长乐路0_L_A17005|0|-1
长乐路0_L_A17006|0|-1
长乐路0_L_A17007|0|-1
长乐路0_L_A17008|0|-1
长乐路0_L_A17009|0|-1
长乐路0_L_A17010|0|-1
长乐路0_L_A17011|0|-1
长乐路0_L_A17012|0|-1
长乐路0_L_A17013|0|-1
长乐路0_L_A17014|0|-1
长乐路0_L_A17015|0|-1
长乐路0_L_A17016|0|-1
长乐路0_L_A17017|0|-1
长乐路0_L_A17018|0|-1
长乐路0_L_A17019|0|-1
长乐路0_R_A17001|0|-1
长乐路0_R_A17002|0|-1
长乐路0_R_A17003|0|-1
长乐路0_R_A17004|0|-1
长乐路0_R_A17005|0|-1
长乐路0_R_A17006|0|-1
长乐路0_R_A17007|0|-1
长乐路0_R_A17008|0|-1
长乐路0_R_A17009|0|-1
长乐路0_R_A17010|0|-1
长乐路0_R_A17011|0|-1
长乐路0_R_A17012|0|-1
长乐路0_R_A17013|0|-1
长乐路0_R_A17014|0|-1
长乐路0_R_A17015|0|-1
长乐路0_R_A17016|0|-1
长乐路0_R_A17017|0|-1
长乐路0_R_A17018|0|-1
长乐路0_R_A17019|0|-1
长乐路0_R_A17020|0|-1
长浩路0_L_A17001|0|-1
长浩路0_L_A17002|0|-1
长浩路0_L_A17003|0|-1
长浩路0_L_A17004|0|-1
长浩路0_L_A17005|0|-1
长浩路0_L_A17006|0|-1
长浩路0_L_A17007|0|-1
长浩路0_L_A17008|0|-1
长浩路0_L_A17009|0|-1
长浩路0_L_A17010|0|-1
长浩路0_L_A17011|0|-1
长浩路0_L_A17012|0|-1
长浩路0_L_A17013|0|-1
长浩路0_R_A17001|0|-1
长浩路0_R_A17002|0|-1
长浩路0_R_A17003|0|-1
长浩路0_R_A17004|0|-1
长浩路0_R_A17005|0|-1
长浩路0_R_A17006|0|-1
长浩路0_R_A17007|0|-1
长浩路0_R_A17008|0|-1
长浩路0_R_A17009|0|-1
长浩路0_R_A17010|0|643
长浩路0_R_A17011|0|-1
长浩路0_R_A17012|0|-1
长浩路0_R_A17013|0|-1
七星西路0_L_1|0|5
七星西路0_L_2|0|-1
七星西路0_L_3|0|-1
七星西路0_R_1|0|-1
七星西路0_R_2|0|442
七星西路0_R_3|0|449
七星西路_L_1|0|5
七星西路_L_2_A|0|-1
七星西路_L_2_B|0|5
七星西路_L_3_A|0|5
七星西路_L_3_B|0|5
七星西路_L_4_A|0|5
七星西路_L_4_B|0|442
七星西路_L_5_A|0|-1
七星西路_L_5_B|0|-1
七星西路_L_6|0|-1
七星西路_L_7|0|-1
七星西路_R_1_A|0|449
七星西路_R_1_B|0|5
七星西路_R_2_A|0|-1
七星西路_R_2_B|0|5
七星西路_R_3_A|0|5
七星西路_R_3_B|0|-1
七星西路_R_4|0|442
七星西路_R_5|0|442
七星路0_R_1|0|-1
七星路_L_1_A|0|-1
七星路_L_1_B|0|1000
七星路_L_2_A|0|-1
七星路_L_2_B|0|-1
七星路_L_3|0|-1
七星路_R_1|1|81
七星路_R_10|0|-1
七星路_R_11|0|1000
七星路_R_2|0|457
七星路_R_3|0|457
七星路_R_4|0|-1
七星路_R_5|0|-1
七星路_R_6|0|-1
七星路_R_7|0|-1
七星路_R_8|0|-1
七星路_R_9|0|-1
七星路(体育路至湖滨北路)_L_1|0|-1
七星路(体育路至湖滨北路)_L_2|0|-1
七星路(体育路至湖滨北路)_L_3|0|302
七星路(体育路至湖滨北路)_L_4|0|302
七星路(体育路至湖滨北路)_L_5|0|302
七星路(体育路至湖滨北路)_L_6|0|302
七星路(体育路至湖滨北路)_L_7|0|-1
七星路(体育路至湖滨北路)_L_8|0|-1
七星路(体育路至湖滨北路)_L_9|0|-1
七星路(体育路至湖滨北路)_R_1|0|-1
七星路(体育路至湖滨北路)_R_2|0|-1
七星路(体育路至湖滨北路)_R_3|0|302
七星路(体育路至湖滨北路)_R_4|1|81
七星路(体育路至湖滨北路)_R_5|1|81
七星路(体育路至湖滨北路)_R_6|1|81
万寿路0_L_1|0|1031
万寿路0_L_2|0|-1
万寿路0_L_3|0|-1
万寿路0_L_4|0|-1
万寿路0_L_5|0|-1
万寿路0_R_1|0|-1
万寿路0_R_2|0|-1
万寿路0_R_3|0|774
万寿路0_R_4|0|-1
万寿路0_R_5|0|-1
下堡路0_L_1|0|-1
下堡路0_L_2|0|-1
下堡路0_L_A06001|0|-1
下堡路0_L_A06002|0|-1
下堡路0_L_A06003|0|-1
下堡路0_L_A06004|0|-1
下堡路0_L_3|0|-1
下堡路0_L_4|0|-1
下堡路0_L_5|0|-1
下堡路0_L_6|0|-1
下堡路0_L_7|0|-1
下堡路0_R_A06002|0|-1
下堡路0_R_A06003|0|-1
下堡路0_R_A06004|0|-1
下堡路0_R_A06005|0|-1
下澳仔路_L_1|0|-1
下澳仔路_R_1|0|-1
东坪山路0_L_1|0|-1
东坪山路0_L_2|0|699
东坪山路0_L_3|0|699
东坪山路0_L_4|0|-1
东坪山路0_L_5|0|-1
东坪山路0_L_6|0|-1
东坪山路0_R_1|0|751
东坪山路0_R_2|0|620
东坪山路0_R_3|0|-1
东坪山路0_R_4|0|2
东坪山路_L_1|0|-1
东坪山路_L_2|0|957
东坪山路_L_A04001|0|2
东坪山路_L_3|0|620
东坪山路_L_4|0|2
东坪山路_L_5|0|2
东坪山路_R_1|0|2
东坪山路_R_2|0|2
东坪山路_R_3|0|620
东坪山路_R_4|0|-1
东埔路0_L_A14001|0|-1
东岳二路0_L_1|0|-1
东岳二路_L_1|0|107
东岳二路_L_A09001|0|-1
东岳二路_R_1|0|636
东岳二路_R_2|0|636
东明路0_L_1|0|-1
东明路0_L_2|0|-1
东明路0_L_3|0|-1
东明路0_L_4|0|-1
东明路0_R_1|0|762
东明路0_R_2|0|762
东明路_L_1|0|762
东明路_L_10|0|75
东明路_L_11|0|-1
东明路_L_2|0|-1
东明路_L_A08001|0|524
东明路_L_A09001|0|796
东明路_L_3|0|-1
东明路_L_4|0|762
东明路_L_5|0|762
东明路_L_6|0|-1
东明路_L_7|0|-1
东明路_L_8|0|-1
东明路_L_9|0|75
东明路_R_1|0|-1
东明路_R_10|0|66
东明路_R_11|0|66
东明路_R_2|0|-1
东明路_R_3|0|75
东明路_R_4|0|75
东明路_R_5|0|-1
东明路_R_6|0|762
东明路_R_7|0|-1
东明路_R_8|0|-1
东明路_R_9|0|762
东浦二路_L_1|0|-1
东浦二路_R_1|0|517
东浦路0_L_1|0|-1
东浦路0_L_10|0|-1
东浦路0_L_11|0|-1
东浦路0_L_12|0|-1
东浦路0_L_13|0|-1
东浦路0_L_14|0|-1
东浦路0_L_2|0|-1
东浦路0_L_3|0|40
东浦路0_L_4|0|-1
东浦路0_L_5|0|-1
东浦路0_L_6|0|-1
东浦路0_L_7|0|-1
东浦路0_L_8|0|-1
东浦路0_L_9|0|-1
东浦路0_R_1|0|-1
东浦路0_R_10|0|-1
东浦路0_R_11|0|-1
东浦路0_R_12|0|-1
东浦路0_R_2|0|-1
东浦路0_R_3|0|-1
东浦路0_R_4|0|-1
东浦路0_R_5|0|40
东浦路0_R_6|0|231
东浦路0_R_7|0|231
东浦路0_R_8|0|-1
东浦路0_R_9|0|-1
东浦路_L_1|0|-1
东浦路_L_10|0|-1
东浦路_L_11|0|-1
东浦路_L_12|0|-1
东浦路_L_13|0|754
东浦路_L_14|0|162
东浦路_L_15|0|68
东浦路_L_16|0|423
东浦路_L_17|0|423
东浦路_L_2|0|-1
东浦路_L_A04001|0|-1
东浦路_L_3|0|506
东浦路_L_4|0|-1
东浦路_L_5|0|-1
东浦路_L_6|0|-1
东浦路_L_7_A|0|-1
东浦路_L_7_B|0|-1
东浦路_L_8|0|-1
东浦路_L_9|0|-1
东浦路_R_10|0|453
东浦路_R_11|0|453
东浦路_R_12|0|-1
东浦路_R_1_A|0|68
东浦路_R_1_B|0|-1
东浦路_R_A04001|0|-1
东浦路_R_A04002|0|-1
东浦路_R_A04003|0|-1
东浦路_R_2_A|0|-1
东浦路_R_2_B|0|875
东浦路_R_3_B|0|-1
东浦路_R_4|0|-1
东浦路_R_5|0|-1
东浦路_R_6|0|-1
东浦路_R_7|0|-1
东浦路_R_8|0|1114
